1 10 23211 1006 2 1200 452 5656 38 4161 834 761 259 1512 295 4096 120 4209 242 423 568 5990 457
2 10 28783 6307 951 4313 977 3956 29 619 28 5429 547 3595 660 3286 731 1399 486 4268 89 2807 543
3 10 28324 5599 702 3540 297 4828 32 4594 936 3635 334 907 30 5963 671 1185 572 3834 350 1321 602
4 10 22006 4478 790 1162 937 411 833 5801 70 2472 294 4577 741 1134 877 3707 235 1376 675 2390 298
5 10 31412 3842 943 4397 954 6686 213 4111 862 3744 833 1387 216 6655 427 4141 67 2414 72 1888 650
6 10 30501 4955 701 1735 86 6734 477 4245 743 3177 782 5254 691 2146 708 5685 46 3132 744 1064 138
7 10 26462 4845 780 3259 867 5054 539 2324 198 4339 350 6330 316 1222 768 751 330 958 471 3996 305
8 10 27085 5726 740 709 950 4660 48 2251 982 2653 795 1532 100 4495 392 1823 933 3516 313 6492 927
9 10 30076 3057 672 4464 944 6759 208 1410 575 5601 770 5418 731 476 839 1593 617 3387 102 5431 773
10 10 34804 6201 773 6337 96 6061 639 2862 553 1287 260 2882 161 4395 162 5278 268 2669 887 5534 796
11 10 35059 450 99 3331 188 6327 558 5483 634 4842 475 6098 399 5380 132 5131 770 4101 63 2681 948
12 10 27896 871 637 3175 264 5571 283 3039 676 302 890 4513 528 6429 232 4441 646 6138 324 391 660
13 10 31449 4024 577 5658 657 1694 343 797 599 3510 863 6859 751 4488 853 4101 309 4884 826 3297 375
14 10 36784 2386 281 5943 167 4048 933 1358 990 4929 265 3620 398 3520 970 6857 457 6944 185 6375 875
15 10 24915 2957 185 1623 226 2094 463 1556 434 6605 218 5434 408 1711 943 520 909 2227 663 6417 859
16 10 18753 559 301 2704 701 677 183 4966 511 1962 825 2647 631 3771 841 3213 925 2474 10 469 807
17 10 20358 3911 332 2522 534 1558 448 4415 157 2059 529 1419 981 2012 450 5522 84 863 785 1167 490
18 10 34007 5757 71 3357 52 5667 822 2809 468 3173 857 5911 118 6930 711 2815 813 4299 444 1791 237
19 10 22988 2076 406 1700 927 6224 947 4685 498 2183 173 433 225 2685 150 832 509 5641 870 2277 498
20 10 29023 5517 440 4901 801 2690 719 614 274 832 443 6927 300 4005 110 1838 604 2804 234 6151 378
21 10 29215 2702 962 4352 462 3497 42 4609 8 6496 243 1877 330 2433 677 6370 296 1803 994 2380 317
22 10 19276 26 945 3970 642 2236 933 1188 142 1981 580 6426 852 378 289 5714 93 406 34 1771 976
23 10 19695 2741 599 103 276 1338 746 5603 895 6999 324 37 788 3003 898 2649 260 1463 632 683 963
24 10 28391 4618 7 2324 429 5414 316 2264 982 5982 1 1447 928 3753 489 495 150 3727 706 5465 839
25 10 30998 2434 67 6740 602 836 773 3897 151 4422 896 6122 472 2697 278 5852 472 3506 221 2242 765
26 10 36473 1353 141 4517 867 6805 592 6171 175 4137 448 1053 884 4569 904 3310 302 6685 376 6992 595
27 10 18920 3367 658 576 673 5364 590 1148 957 1311 228 1737 524 1204 494 6723 473 1068 420 1153 440
28 10 32096 3532 594 2035 210 2694 912 3002 421 5371 120 5703 362 5455 921 4878 633 6271 799 1179 898
29 10 27432 5951 789 2903 407 700 376 4860 439 6284 724 2748 150 5151 826 3751 877 1136 959 807 904
30 10 27487 17 751 5580 416 6053 932 525 915 2224 238 4973 55 2886 940 6539 840 4162 39 1400 334
31 10 25244 2212 688 6065 11 6019 4 2631 233 2078 297 1122 779 1395 903 5508 168 1381 657 3145 782
32 10 22016 1152 394 1643 411 642 412 2078 59 5526 409 2902 955 1343 564 111 798 6848 280 5275 141
33 10 31566 3010 273 4380 869 5552 909 3592 465 5255 299 5163 358 3801 967 2438 613 226 460 6041 316
34 10 34028 4030 37 930 566 6529 401 5996 871 4814 462 6252 617 1414 182 3158 19 5008 527 4404 494
35 10 27056 3154 91 4333 522 2875 273 6470 530 824 768 1685 33 5066 105 3669 187 5450 568 295 977
36 10 26377 3578 908 6679 141 4347 144 3529 365 3581 931 2215 75 4146 176 900 749 2488 284 1509 526
37 10 31426 268 869 3289 849 4621 925 5734 457 5153 833 6388 142 5481 694 3536 261 1609 320 3204 307
38 10 29378 6180 904 252 527 6390 364 1609 65 5294 570 6622 812 5040 236 1833 436 908 665 2595 906
39 10 26522 3900 57 2663 4 3298 43 6127 376 2546 506 3249 606 2997 185 5392 502 1868 19 1113 659
40 10 33776 5938 67 1730 117 5862 973 1823 419 6076 816 6630 572 6284 612 854 123 3246 246 3777 485
41 10 29646 397 674 2159 166 1957 570 6968 687 1653 157 6109 743 6925 655 6646 599 540 652 3704 693
42 10 40297 2994 494 5134 72 5922 259 4999 916 5679 882 2600 294 6769 229 6754 530 6293 595 3228 81
43 10 20789 4564 687 554 676 390 637 18 323 3017 551 166 256 3627 757 2501 20 5420 19 5730 693
44 10 34855 4953 640 6770 7 4565 970 1738 118 1875 607 653 754 6937 82 2570 573 6937 375 6571 648
45 10 26330 57 516 700 899 2015 735 3194 925 521 32 4339 484 6603 281 5144 869 4995 489 5345 24
46 10 28588 5049 587 2097 408 4037 892 5374 134 3710 315 4989 979 916 776 782 630 4361 386 4420 931
47 10 25776 5185 134 3277 875 6348 525 851 495 2278 771 907 815 6829 537 3452 135 2839 595 255 99
48 10 27552 2176 793 828 858 1656 391 3712 320 6465 828 5270 682 3859 426 6526 297 1169 966 2780 369
49 10 26894 6973 14 2663 839 3146 329 3358 561 3793 969 3779 552 2012 140 140 540 6067 792 1687 992
50 10 22240 2124 448 6058 972 803 837 566 465 4488 336 586 820 3583 909 2721 934 1079 999 5793 784
