1 20 26724 1436 1 1715 46 8080 4 5945 84 1086 26 2160 30 5851 12 6012 25 604 57 8557 46 2687 91 9503 62 9769 57 290 9 279 78 5467 52 6593 47 7303 20 4853 61 890 41
2 20 24591 882 80 7018 51 2962 69 317 66 9354 52 3334 13 298 86 6704 17 5711 55 3499 19 6011 98 6396 79 1660 94 586 84 8287 7 3531 30 6539 75 1620 88 5295 24 1966 68
3 20 32314 2974 86 5489 95 6281 96 9551 22 5872 87 5348 84 1982 22 9507 43 5915 7 3449 8 2697 65 6336 71 7004 25 860 97 4770 61 7425 46 7816 76 6907 31 7073 82 460 45
4 20 27064 1519 14 5422 70 7800 47 8667 73 5383 34 1978 62 3500 91 3154 18 7679 11 3293 14 4710 58 3042 69 8180 74 1012 95 6657 5 3215 99 3789 80 2188 10 6421 40 2605 94
5 20 28162 3126 93 9262 52 4367 68 6377 95 9656 21 2014 58 8001 77 7739 74 679 84 2275 62 4838 11 7758 78 1373 89 7723 91 959 87 6385 41 5528 19 2597 42 1601 63 1617 76
6 20 28360 3812 89 7906 80 6048 7 988 48 1876 91 5573 79 6338 70 4749 88 3987 77 1314 74 7697 59 626 39 9480 27 1244 64 4535 27 7959 29 4342 68 432 89 6446 53 9184 24
7 20 32116 6458 88 3237 6 6594 18 5748 58 8082 66 2419 35 1139 60 5014 87 9798 76 6412 86 5858 31 6977 83 4710 38 4296 35 2801 85 1669 58 9328 20 9896 71 2646 52 3973 51
8 20 32007 9796 46 9920 19 9108 88 5528 43 1843 24 2256 30 4629 23 4334 95 2178 78 4074 25 9422 8 9082 32 6627 92 8585 17 799 31 3863 71 968 19 7094 52 2803 83 3781 64
9 20 27852 8408 46 9248 36 100 7 8066 11 5587 34 3603 54 2225 45 6307 16 2941 53 2027 99 2874 45 7889 9 1233 79 1666 49 8002 83 701 48 513 81 8211 41 4672 46 8570 85
10 20 29714 9900 72 4021 82 6141 45 2558 24 3653 30 4056 25 9268 89 9465 67 4977 32 1726 7 2247 39 1500 12 5082 81 8692 33 4973 43 7881 44 7001 81 3842 72 877 28 1189 45
11 20 28797 2998 58 1093 27 6037 41 2340 88 3771 94 3860 97 6217 47 4996 5 6584 1 9280 25 2682 33 3476 68 9099 30 2576 100 3400 32 976 1 9448 57 6417 32 9321 17 1420 29
12 20 32635 9180 86 539 29 8162 10 580 4 2529 98 3130 40 5983 2 2760 20 7456 81 8950 100 3240 1 7872 43 8973 38 2600 21 6318 10 9629 36 6596 1 3320 43 7734 32 3234 99
13 20 32917 1 21 9277 54 4888 8 1491 54 7055 79 8385 56 3477 7 9629 61 1195 78 5567 16 6317 90 8746 48 3852 28 8360 48 5008 23 3202 77 7295 20 1402 65 8661 98 5917 89
14 20 33269 5910 45 1504 89 6526 91 4728 31 9549 38 9989 60 6342 49 6578 9 6726 77 5900 17 9561 19 2274 25 5240 18 4940 97 4730 16 4200 17 4399 12 5046 60 2907 21 3849 92
15 20 33037 4203 77 1195 82 3613 78 9202 70 6328 90 7990 17 8978 6 8501 79 4146 41 999 38 6942 44 8976 73 3925 15 7359 83 5358 88 1623 96 1153 91 7972 1 7503 80 4160 87
16 20 26937 749 92 3178 24 7104 6 4123 94 9341 84 5945 4 1999 34 8191 32 6876 87 104 86 33 38 2326 30 2962 17 7781 20 9025 79 1679 20 6564 45 7819 93 1646 40 2347 42
17 20 30443 4114 30 587 79 4084 42 9550 20 5640 2 7974 98 2798 76 1401 14 4300 28 6257 87 7932 91 5131 47 7506 30 7375 36 5430 97 3483 62 322 46 8630 32 8602 58 363 14
18 20 31812 9326 41 8566 88 6877 47 8931 62 2019 19 4511 2 7154 53 6291 50 6745 46 908 62 5217 42 2728 93 5296 12 7680 25 330 73 1044 53 1869 78 5674 5 9766 57 5111 91
19 20 28539 1408 63 1434 51 3643 52 9310 32 741 60 1754 13 7485 36 2837 22 5253 14 383 87 4699 85 6601 93 8192 46 7361 84 9125 15 7829 70 5052 27 2298 32 4577 31 5150 89
