1 17 13687 862 5 1029 1806 4848 149 3567 3334 652 1033 1296 1179 3511 479 3608 968 363 2272 5134 1827 1613 3604 5702 2465 5862 2261 174 354 168 3103 3280 2055 3956 1878
2 17 12031 1199 1941 3659 356 2406 2171 530 3200 4211 2023 1777 2759 190 2625 5612 2078 2000 518 179 3408 4023 677 3427 2191 2099 755 3607 3910 3838 3160 996 3745 352 3329
3 17 15831 416 1413 1759 2616 4443 648 5262 2118 1405 787 4046 1366 1785 3416 3294 3772 3769 3814 5731 852 3523 3448 3209 3329 1189 861 5704 1707 3549 267 2069 285 1618 2597
4 17 16267 4247 2802 1488 344 5772 1908 3639 2970 2723 3127 4503 2763 1839 2829 4873 184 2685 2973 912 551 3253 2769 4680 1863 5201 2888 3230 1328 1187 2479 2100 3618 1893 699
5 17 17482 644 1317 821 1884 3426 1217 4091 3272 4439 405 5695 2663 283 1286 5887 1516 4770 876 600 2569 2349 1042 5594 2009 1876 3710 5558 2063 2621 2688 3826 3774 5794 829
6 17 19114 3449 3201 4616 3096 4381 272 5034 910 3702 1936 609 3103 4634 550 5315 3089 5431 384 5195 2554 2453 2212 1104 1039 2470 641 3767 647 4524 1072 2288 3547 4744 3183
7 17 17642 386 396 2855 751 5423 2230 4699 2535 4150 1900 5227 1595 4611 526 4398 3079 3515 251 2298 3792 1591 498 3822 1814 1582 3184 1697 1737 4052 173 5337 2579 3166 3674
8 17 17376 3806 2584 5261 1295 335 2638 1021 2300 3457 3233 3942 968 2056 456 3589 2006 5176 3920 4504 2565 5116 2343 1849 2791 4952 1884 2248 1719 2045 1121 5094 668 3470 3732
9 17 15457 5938 2817 1588 2069 2384 2012 5820 3919 2742 3968 1108 3643 5248 2212 2535 737 1391 903 1795 1852 1334 1734 5662 872 4658 1630 1466 3769 446 3633 1909 2651 5500 3434
10 17 11577 480 1201 2318 2802 581 732 4257 2042 1682 3299 2269 2524 3233 3363 2754 3699 2121 40 402 3227 620 2235 1990 1442 3200 890 2687 2523 942 1177 3170 811 5885 1150
11 17 14213 4733 335 740 3137 1000 1959 4802 3290 421 1919 308 3238 4927 1606 2804 1814 5142 3378 708 3960 4262 1609 4877 2457 2664 1023 1420 1461 1779 1623 1457 3708 5335 3786
12 17 14585 2986 1248 1036 248 1348 1534 900 475 3050 3223 5215 1301 2984 1690 4729 1760 4201 3204 2306 2873 527 1095 713 1771 5937 1200 3433 437 1576 2415 2404 936 5272 1509
13 17 16931 2316 3845 3730 1845 2998 168 3951 29 5568 969 1609 1317 2086 2706 5460 1181 1546 3973 2040 1266 586 15 5669 2269 3850 1278 5593 679 852 1132 3478 3672 5107 216
14 17 17250 4897 369 348 135 1518 3901 1878 1566 3590 59 1656 765 4474 3202 5370 4000 1944 21 4723 1716 5384 1514 1560 836 3791 391 5778 1424 3958 26 1992 1713 4641 1261
15 17 17328 5887 3418 1 827 5566 2145 2933 283 895 2130 4233 3123 5031 2227 2086 266 5777 2407 717 3092 3341 603 3790 3582 5248 1888 2312 1110 5016 1887 3005 884 1922 3059
16 17 19395 1160 561 3872 3465 5833 2367 5289 697 3546 1789 902 3534 3916 3615 2837 1206 5730 1503 5993 2379 3805 1924 3947 329 4036 3065 3540 656 5737 749 1364 993 3144 688
17 17 15530 5763 1892 915 1680 988 1760 714 2019 3564 1163 1258 1540 5470 1716 2522 3069 717 3259 2168 3118 5522 2787 3797 3584 4794 674 5387 201 5101 3154 2488 1628 600 1502
18 17 17613 2631 3591 4339 1570 900 2944 4956 2144 5261 649 5749 461 5421 3189 15 3002 4783 1664 5189 3728 450 3659 1907 950 4263 220 2474 3757 5605 3360 3567 155 1200 1335
19 17 14529 1896 2751 5198 42 5159 14 2255 931 1782 1185 962 3113 1196 3610 4721 672 1183 2626 2695 3128 5553 659 2364 939 2465 367 2468 1188 352 3158 2451 1658 5730 768
20 17 16289 95 3190 5870 1119 4522 561 810 1720 1636 2503 5212 3173 5454 2053 2789 3003 1791 2950 2145 2172 5801 1394 3676 129 2757 3452 1892 3441 3454 145 797 2262 5596 1602
21 17 14400 5221 2751 2769 3573 3698 808 1092 1805 114 2862 3157 2517 2962 2698 2703 364 3714 2087 2465 1091 5545 2119 706 3072 1444 132 4342 418 3145 748 4672 2270 253 3907
22 17 16049 3067 3631 5725 564 3726 574 3025 1457 3069 3724 1898 297 3553 702 771 2994 2133 1135 1294 2101 803 153 5210 1880 5092 2641 5550 3277 2738 2945 4997 3650 848 3132
23 17 15475 3031 1043 1379 1278 2746 1227 3090 3532 5424 144 3161 3652 2179 919 385 3025 3417 3784 4870 2880 1413 1048 2615 519 3988 1483 5434 912 3343 225 2283 16 2827 170
24 17 15988 2252 1455 3035 1857 3635 1713 1108 3081 3011 1067 114 636 3951 3514 5090 266 1483 465 5025 3891 1563 1675 5208 3262 5683 2286 5386 2447 732 491 2782 981 3237 1938
25 17 15054 341 2693 1851 662 1677 2278 5973 2748 1417 628 5237 2969 5935 2620 5697 2396 463 2607 3175 2772 934 1711 2962 2934 429 3384 1551 2857 5492 3245 5288 1486 1759 3868
26 17 17299 5789 2120 5394 2379 2767 322 2062 2608 4122 317 4052 223 3822 11 1933 1724 3304 95 1531 2073 4540 1429 117 3098 111 3275 4158 2271 4246 2559 5803 25 3913 3877
27 17 14144 708 1072 3642 374 4520 3964 492 1469 3438 3964 2247 3755 3887 1984 49 2062 600 3595 1727 2939 2738 3700 446 128 3719 1936 5660 1121 4410 3476 4282 1955 4582 95
28 17 16908 4328 2347 1798 1630 3460 3567 4607 534 3180 1257 4277 3915 786 3104 670 2520 3738 1543 3789 3721 4053 2963 801 1873 5246 3628 3147 486 2969 1302 4626 518 4885 3903
29 17 16977 2959 538 2433 2377 219 396 4481 1244 4754 474 5148 946 2342 2121 1916 3695 4966 3012 4089 2205 2551 3730 1777 668 5791 1589 2211 801 5977 54 2282 3355 2696 1313
30 17 15326 3363 2168 5809 2159 3307 1150 840 80 3237 3467 4749 964 5950 534 1821 1790 5193 3886 688 3345 485 1860 3847 1343 502 3279 3072 3633 2333 3733 925 3994 4966 3134
31 17 13244 5299 3911 2701 1456 2217 354 5184 3048 737 1786 2338 60 4787 871 220 3767 4596 3481 990 1022 948 3727 2739 93 3205 1999 4035 3022 103 1572 1730 2539 2318 2878
32 17 15471 2085 1591 1277 3427 76 3061 5897 1642 2737 3598 5944 2320 2839 714 4702 2863 5543 562 5454 654 3940 3334 376 3391 2023 3554 4044 868 2516 1169 936 1982 1181 2015
33 17 17042 4319 1297 1793 2630 3823 359 5395 334 2094 1362 2434 1756 2580 323 4228 3404 778 2712 5703 223 313 3655 2798 2949 1189 3634 2899 468 5673 2119 5223 312 5566 2615
