1 12 3342 72 86 417 130 293 301 283 45 366 243 305 201 272 400 468 167 489 395 415 177 371 439 427 472
2 12 3947 431 417 476 296 481 304 346 354 407 224 372 69 390 434 453 88 384 165 370 475 333 161 491 398
3 12 3809 467 157 366 420 242 388 387 443 452 392 474 63 338 445 460 318 330 288 329 172 490 321 427 155
4 12 3812 413 188 467 495 353 259 438 212 472 455 351 92 177 34 404 280 491 225 395 62 393 245 411 234
5 12 3999 401 360 495 287 250 330 497 159 473 321 409 29 488 196 300 138 500 3 394 449 491 1 301 387
6 12 4203 487 441 442 452 478 500 481 77 384 408 461 317 395 204 449 197 413 439 399 376 399 433 466 458
7 12 3756 434 430 390 452 394 99 395 208 478 282 490 377 376 369 484 307 432 431 288 67 309 91 226 358
8 12 3772 265 384 362 263 284 489 466 38 297 65 375 142 435 425 410 369 457 115 453 279 425 124 487 210
9 12 3896 306 62 344 79 495 475 300 326 441 147 484 483 179 388 484 327 485 59 496 184 472 368 384 265
10 12 3730 263 248 488 247 298 50 374 397 467 84 483 185 420 165 486 419 489 182 195 399 471 436 229 268
11 12 4005 429 383 492 229 417 424 337 210 360 150 426 339 476 27 457 369 473 436 483 178 289 111 368 432
12 12 3834 479 69 457 226 213 75 461 252 495 466 394 488 322 368 402 278 484 211 350 473 308 496 428 57
13 12 3784 362 403 500 3 390 26 201 318 460 392 460 245 324 456 335 257 312 90 499 158 440 279 448 26
14 12 3732 258 98 475 158 440 198 338 94 319 197 322 293 400 378 485 459 458 180 474 185 224 99 472 110
15 12 4148 327 245 375 453 440 9 400 208 479 78 482 245 406 35 469 315 407 27 439 401 481 21 480 316
16 12 4092 476 19 434 21 425 436 440 346 470 210 459 271 420 92 442 138 363 274 405 204 338 285 443 76
17 12 3772 344 401 319 249 356 312 491 403 208 279 476 101 471 499 388 185 433 25 412 191 363 237 454 471
18 12 3768 421 350 331 101 420 193 470 12 400 71 499 385 432 215 382 425 136 327 449 11 357 389 413 163
19 12 4143 486 412 413 134 433 31 482 3 452 256 371 23 319 448 422 364 495 380 481 351 435 447 390 41
20 12 3610 357 359 275 272 432 373 440 30 400 445 269 480 337 16 496 324 304 420 313 336 399 465 491 165
21 12 3675 384 282 431 62 408 101 285 355 407 105 373 353 398 1 429 259 472 144 264 89 345 25 398 75
22 12 3888 442 487 309 53 424 101 372 87 477 170 498 414 459 224 406 422 189 78 397 285 428 91 460 140
23 12 4140 487 88 469 69 498 358 444 376 448 51 422 328 302 382 397 35 411 447 409 235 444 300 444 168
24 12 3762 319 161 268 152 139 45 491 390 488 345 385 356 430 175 473 116 474 495 404 223 499 120 333 21
25 12 3718 440 333 426 497 490 431 303 281 446 290 386 134 347 453 451 341 299 272 390 236 251 167 419 425
26 12 3912 412 49 309 338 451 180 365 409 472 321 442 189 339 467 401 487 459 82 315 374 429 69 497 450
27 12 4046 361 355 401 66 486 148 480 90 242 312 408 310 437 221 438 425 450 381 478 94 410 345 467 53
28 12 3914 401 372 481 352 371 486 477 212 453 319 227 385 483 251 183 268 471 336 382 407 481 93 483 321
29 12 3960 121 203 489 347 429 118 395 105 468 67 471 452 412 308 310 349 474 350 498 314 465 405 419 40
30 12 3869 477 12 393 368 485 140 466 470 332 51 348 380 363 200 412 423 480 40 395 151 324 260 362 159
31 12 3837 365 171 322 139 374 164 478 139 479 236 320 198 401 372 347 2 308 475 487 21 420 453 496 143
32 12 4043 456 72 318 71 365 89 396 500 415 30 389 247 493 206 470 142 500 199 433 289 355 24 464 304
33 12 3560 390 109 275 103 252 325 345 275 389 377 498 488 347 458 383 192 419 5 383 40 380 311 390 451
